City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ilulissat,69.2167,-51.1,42.82,87,75,5.75,GL,1724786521
84,aghajari,30.7006,49.8315,98.82,16,0,6.91,IR,1724786305
85,port elizabeth,-33.918,25.5701,55.69,94,75,31.07,ZA,1724786523
86,margaret river,-33.95,115.0667,55.87,67,100,9.95,AU,1724786524
87,guerrero negro,27.9769,-114.0611,79.52,54,5,12.84,MX,1724786525
88,kailua-kona,19.6406,-155.9956,81.28,84,40,8.05,US,1724786526
89,kerikeri,-35.2268,173.9474,47.91,93,100,4.21,NZ,1724786527
90,tromso,69.6496,18.957,53.62,71,75,14.97,NO,1724786528
91,sinabang,2.4803,96.3801,75.36,85,100,10.22,ID,1724786294
92,luau,-10.7073,22.2247,72.99,21,6,4.85,AO,1724786531
93,hermanus,-34.4187,19.2345,43.81,72,95,37.78,ZA,1724786532
94,isangel,-19.55,169.2667,68.49,74,29,9.93,VU,1724786533
95,whitehorse,60.7161,-135.0538,56.17,53,75,10.36,CA,1724786304
96,bafq,31.6128,55.4107,92.39,13,0,7.02,IR,1724786535
97,yeppoon,-23.1333,150.7333,65.91,90,0,6.38,AU,1724786536
98,anadyr,64.75,177.4833,48.7,87,0,4.47,RU,1724786538
99,tucumcari,35.1717,-103.725,82.24,42,0,3.96,US,1724786539
100,jaru,-10.4389,-62.4664,101.07,17,0,1.59,BR,1724786294
101,kasempa,-13.4584,25.8338,66.43,22,4,4.97,ZM,1724786541
102,iqaluit,63.7506,-68.5145,42.53,93,100,0.0,CA,1724786544
103,port augusta,-32.5,137.7667,53.26,84,0,3.38,AU,1724786545
104,ocean city,39.2776,-74.5746,86.18,74,0,5.01,US,1724786407
105,kosh-agach,50.0,88.6667,44.01,75,24,2.51,RU,1724786547
106,thompson,55.7435,-97.8558,66.36,39,40,3.44,CA,1724786548
107,machico,32.7,-16.7667,74.03,64,75,6.91,PT,1724786550
108,colachel,8.1667,77.25,78.85,96,100,1.01,IN,1724786551
109,tucurui,-3.7661,-49.6725,83.21,51,100,1.59,BR,1724786553
110,yellowknife,62.456,-114.3525,67.41,80,75,5.75,CA,1724786554
111,kapuskasing,49.4169,-82.4331,66.29,59,100,10.36,CA,1724786499
112,dunedin,-45.8742,170.5036,45.81,97,5,5.26,NZ,1724786556
